Keypoint,Model,Good (%),Near Miss (%),Miss (%)
TrgLBaseL,SLEAP - Singe-instance,54.7,35.9,9.4
TrgLBaseL,SLEAP - Top-down model,47.3,41.1,11.6
TrgLBaseR,DLC - Buttom-up model,74.8,22.9,2.3
TrgLBaseR,DLC - Top-down model,87.8,10.7,1.5
TrgLBaseR,LP - Buttom-up model,71.8,21.8,6.5
TrgLBaseR,LP - TCN model,67.2,23.2,9.6
TrgLBaseR,SLEAP - Singe-instance,58.0,34.4,7.6
TrgLBaseR,SLEAP - Top-down model,57.3,33.6,9.2
TrgRBaseL,DLC - Buttom-up model,78.4,18.9,2.7
TrgRBaseL,DLC - Top-down model,93.2,6.8,0.0
TrgRBaseL,LP - Buttom-up model,72.6,25.3,2.1
TrgRBaseL,LP - TCN model,66.2,23.0,10.8
TrgRBaseL,SLEAP - Singe-instance,71.1,20.1,8.7
TrgRBaseL,SLEAP - Top-down model,58.1,31.1,10.8
TrgRBaseR,DLC - Buttom-up model,78.7,19.9,1.4
TrgRBaseR,DLC - Top-down model,87.2,12.1,0.7
TrgRBaseR,LP - Buttom-up model,71.6,22.0,6.4
TrgRBaseR,LP - TCN model,57.7,33.1,9.2
TrgRBaseR,SLEAP - Singe-instance,66.7,25.5,7.8
TrgRBaseR,SLEAP - Top-down model,59.6,28.4,12.1
Worm,DLC - Buttom-up model,70.5,19.8,9.7
Worm,DLC - Top-down model,83.5,11.0,5.5
Worm,LP - Buttom-up model,80.1,12.0,7.9
Worm,LP - TCN model,68.7,18.4,12.9
Worm,SLEAP - Singe-instance,73.6,16.9,9.6
Worm,SLEAP - Top-down model,64.8,23.6,11.5
